Date,Demographic Level,Extremely likely,Not at all likely,Not very likely,Somewhat likely,Very likely
13.8.24,National,2,73,18,5,1
13.8.24,Democrat,3,78,15,4,1
13.8.24,Independent,1,58,28,10,3
13.8.24,Republican,2,75,17,5,1
13.8.24,18-24,1,61,26,10,2
13.8.24,25-34,1,65,24,8,2
13.8.24,35-44,1,69,21,7,2
13.8.24,45-54,2,71,20,6,1
13.8.24,55-64,2,72,19,6,1
13.8.24,65+,3,79,14,4,1
13.8.24,Female,2,75,17,5,1
13.8.24,Gender Expansive,2,78,15,4,1
13.8.24,Male,2,72,19,6,1
13.8.24,African American,2,69,21,7,2
13.8.24,Asian,1,65,23,8,2
13.8.24,Hispanic,2,72,19,6,1
13.8.24,White,2,75,17,5,1
13.8.24,College,2,70,20,6,2
13.8.24,No College,2,75,17,5,1
13.8.24,Rural,2,76,16,5,1
13.8.24,Suburban,2,71,19,6,1
13.8.24,Urban,2,73,18,5,1
13.8.24,Alabama,2,74,17,5,1
13.8.24,Alaska,2,74,17,5,1
13.8.24,Arizona,2,73,18,5,1
13.8.24,Arkansas,2,75,17,5,1
13.8.24,California,2,72,19,6,1
13.8.24,Colorado,2,72,19,6,1
13.8.24,Connecticut,2,73,18,6,1
13.8.24,Delaware,2,74,17,5,1
13.8.24,District of Columbia,2,73,18,5,1
13.8.24,Florida,2,73,18,5,1
13.8.24,Georgia,2,72,19,6,1
13.8.24,Hawaii,2,73,18,5,1
13.8.24,Idaho,2,74,18,5,1
13.8.24,Illinois,2,73,18,6,1
13.8.24,Indiana,2,74,18,5,1
13.8.24,Iowa,2,74,17,5,1
13.8.24,Kansas,2,73,18,6,1
13.8.24,Kentucky,2,76,16,5,1
13.8.24,Louisiana,2,73,18,5,1
13.8.24,Maine,2,77,15,4,1
13.8.24,Maryland,2,72,19,6,1
13.8.24,Massachusetts,2,73,18,5,1
13.8.24,Michigan,2,74,18,5,1
13.8.24,Minnesota,2,74,17,5,1
13.8.24,Mississippi,2,77,16,4,1
13.8.24,Missouri,2,74,18,5,1
13.8.24,Montana,2,75,17,5,1
13.8.24,Nebraska,2,74,17,5,1
13.8.24,Nevada,2,73,18,5,1
13.8.24,New Hampshire,2,76,16,5,1
13.8.24,New Jersey,2,72,19,6,1
13.8.24,New Mexico,2,75,17,5,1
13.8.24,New York,2,73,18,6,1
13.8.24,North Carolina,2,73,18,6,1
13.8.24,North Dakota,2,75,16,5,1
13.8.24,Ohio,2,74,17,5,1
13.8.24,Oklahoma,2,76,16,5,1
13.8.24,Oregon,2,74,18,5,1
13.8.24,Pennsylvania,2,75,17,5,1
13.8.24,Rhode Island,2,73,18,6,1
13.8.24,South Carolina,2,73,18,5,1
13.8.24,South Dakota,2,77,15,4,1
13.8.24,Tennessee,2,74,17,5,1
13.8.24,Texas,2,72,19,6,1
13.8.24,Utah,2,74,17,5,1
13.8.24,Vermont,3,77,15,4,1
13.8.24,Virginia,2,72,19,6,1
13.8.24,Washington,2,72,19,6,1
13.8.24,West Virginia,2,76,16,4,1
13.8.24,Wisconsin,2,76,16,5,1
13.8.24,Wyoming,2,77,15,4,1
